iter	MultiClass
0	1.335463607
1	1.277207383
2	1.235539284
3	1.19103843
4	1.148436008
5	1.107532864
6	1.070551741
7	1.03526132
8	1.005543246
9	0.9772985369
10	0.9499481637
11	0.9206892766
12	0.8918782741
13	0.8650915917
14	0.8417761039
15	0.8168551709
16	0.7967000268
17	0.7730313154
18	0.7535378134
19	0.7341196954
20	0.7146857639
21	0.698124079
22	0.6804408969
23	0.6638817866
24	0.6496920237
25	0.6345622801
26	0.620012757
27	0.606819889
28	0.5926991433
29	0.5802448866
30	0.56684606
31	0.5550732003
32	0.5421705944
33	0.5308378358
34	0.5194224797
35	0.5093791436
36	0.5004712232
37	0.4913695437
38	0.4819144977
39	0.4727765266
40	0.4638115688
41	0.4554073674
42	0.4466804851
43	0.4387678489
44	0.4311406884
45	0.4236767422
46	0.4162669774
47	0.4101477443
48	0.4038998886
49	0.3975482719
50	0.3905854214
51	0.3842034879
52	0.3775206725
53	0.3716130486
54	0.3665576929
55	0.3611658125
56	0.3559918449
57	0.3495586092
58	0.343957509
59	0.3391894615
60	0.3342065377
61	0.3290580198
62	0.3244618489
63	0.319700365
64	0.3152572338
65	0.3107948455
66	0.3063152327
67	0.3018503949
68	0.2985496326
69	0.2949003674
70	0.2913140934
71	0.2872237199
72	0.2837487656
73	0.2800444275
74	0.2765345643
75	0.2732325686
76	0.2699917494
77	0.2672979744
78	0.2640832247
79	0.2608923345
80	0.25754483
81	0.2546402578
82	0.2520044637
83	0.2491039229
84	0.2461226444
85	0.2435451781
86	0.2408960068
87	0.238657936
88	0.2358472424
89	0.2334519016
90	0.2307240857
91	0.2285133975
92	0.2262268626
93	0.2239422478
94	0.2215399662
95	0.2190527537
96	0.2165178001
97	0.2141562073
98	0.2121790244
99	0.2102386292
100	0.2080254758
101	0.2059484044
102	0.2039329578
103	0.2023398555
104	0.2005205939
105	0.198668374
106	0.1971878532
107	0.1951640974
108	0.1934130154
109	0.1916648334
110	0.1899606649
111	0.188501685
112	0.1869580974
