iter	Accuracy_SumError	Accuracy_SumWeight	MultiClass_SumError	MultiClass_SumWeight
0	2017.899992	2241.099987	2992.907472	2241.099987
1	2051.199991	2241.099987	2862.34945	2241.099987
2	2054.899992	2241.099987	2768.967074	2241.099987
3	2078.099991	2241.099987	2669.236209	2241.099987
4	2077.999991	2241.099987	2573.759921	2241.099987
5	2073.199991	2241.099987	2482.091887	2241.099987
6	2080.399991	2241.099987	2399.213491	2241.099987
7	2087.299991	2241.099987	2320.124131	2241.099987
8	2086.599991	2241.099987	2253.522956	2241.099987
9	2091.599991	2241.099987	2190.223738	2241.099987
10	2101.99999	2241.099987	2128.928817	2241.099987
11	2103.09999	2241.099987	2063.356725	2241.099987
12	2112.39999	2241.099987	1998.788388	2241.099987
13	2110.09999	2241.099987	1938.756755	2241.099987
14	2113.89999	2241.099987	1886.504415	2241.099987
15	2109.79999	2241.099987	1830.654112	2241.099987
16	2110.09999	2241.099987	1785.484419	2241.099987
17	2113.29999	2241.099987	1732.440471	2241.099987
18	2114.59999	2241.099987	1688.753584	2241.099987
19	2111.49999	2241.099987	1645.23564	2241.099987
20	2118.89999	2241.099987	1601.682256	2241.099987
21	2117.09999	2241.099987	1564.565864	2241.099987
22	2121.69999	2241.099987	1524.936085	2241.099987
23	2122.49999	2241.099987	1487.825463	2241.099987
24	2121.69999	2241.099987	1456.024786	2241.099987
25	2125.69999	2241.099987	1422.117518	2241.099987
26	2126.299989	2241.099987	1389.510581	2241.099987
27	2126.69999	2241.099987	1359.944045	2241.099987
28	2126.69999	2241.099987	1328.298042	2241.099987
29	2125.49999	2241.099987	1300.386808	2241.099987
30	2129.399989	2241.099987	1270.358697	2241.099987
31	2129.399989	2241.099987	1243.974542	2241.099987
32	2133.299989	2241.099987	1215.058512	2241.099987
33	2134.599989	2241.099987	1189.660667	2241.099987
34	2131.999989	2241.099987	1164.077712	2241.099987
35	2131.999989	2241.099987	1141.569592	2241.099987
36	2133.499989	2241.099987	1121.606052	2241.099987
37	2133.499989	2241.099987	1101.208278	2241.099987
38	2133.499989	2241.099987	1080.018574	2241.099987
39	2133.499989	2241.099987	1059.539467	2241.099987
40	2134.799989	2241.099987	1039.448101	2241.099987
41	2134.799989	2241.099987	1020.613445	2241.099987
42	2136.599989	2241.099987	1001.055629	2241.099987
43	2132.499989	2241.099987	983.3226203	2241.099987
44	2132.499989	2241.099987	966.2293909	2241.099987
45	2133.799989	2241.099987	949.5019413	2241.099987
46	2132.499989	2241.099987	932.8959175	2241.099987
47	2136.299989	2241.099987	919.1821043	2241.099987
48	2135.299989	2241.099987	905.1800349	2241.099987
49	2135.799989	2241.099987	890.9454268	2241.099987
50	2137.399989	2241.099987	875.3409827	2241.099987
51	2140.099989	2241.099987	861.0384315	2241.099987
52	2140.399989	2241.099987	846.061574	2241.099987
53	2138.899989	2241.099987	832.8219982	2241.099987
54	2142.699989	2241.099987	821.4924405	2241.099987
55	2140.399989	2241.099987	809.4086975	2241.099987
56	2145.699989	2241.099987	797.8133188	2241.099987
57	2145.999989	2241.099987	783.3957944	2241.099987
58	2145.999989	2241.099987	770.8431689	2241.099987
59	2145.999989	2241.099987	760.1574975	2241.099987
60	2147.299989	2241.099987	748.990267	2241.099987
61	2147.499989	2241.099987	737.4519237	2241.099987
62	2145.999989	2241.099987	727.1514452	2241.099987
63	2145.999989	2241.099987	716.4804838	2241.099987
64	2145.999989	2241.099987	706.5229824	2241.099987
65	2146.999989	2241.099987	696.5223241	2241.099987
66	2146.999989	2241.099987	686.4830638	2241.099987
67	2145.999989	2241.099987	676.4769159	2241.099987
68	2148.499989	2241.099987	669.0795777	2241.099987
69	2148.499989	2241.099987	660.9012095	2241.099987
70	2149.799989	2241.099987	652.8640108	2241.099987
71	2149.499989	2241.099987	643.6970749	2241.099987
72	2149.499989	2241.099987	635.9093549	2241.099987
73	2150.799989	2241.099987	627.6075626	2241.099987
74	2150.799989	2241.099987	619.7416084	2241.099987
75	2152.099989	2241.099987	612.3415058	2241.099987
76	2152.099989	2241.099987	605.0785059	2241.099987
77	2150.799989	2241.099987	599.0414868	2241.099987
78	2150.799989	2241.099987	591.8369114	2241.099987
79	2152.099989	2241.099987	584.6858074	2241.099987
80	2152.099989	2241.099987	577.1837151	2241.099987
81	2150.599989	2241.099987	570.6742783	2241.099987
82	2150.599989	2241.099987	564.7672001	2241.099987
83	2150.599989	2241.099987	558.2667982	2241.099987
84	2152.099989	2241.099987	551.5854551	2241.099987
85	2153.399989	2241.099987	545.8090955	2241.099987
86	2156.199989	2241.099987	539.8720376	2241.099987
87	2154.899989	2241.099987	534.8562971	2241.099987
88	2156.199989	2241.099987	528.5572517	2241.099987
89	2156.199989	2241.099987	523.1890536	2241.099987
90	2158.499989	2241.099987	517.0757453	2241.099987
91	2157.199989	2241.099987	512.1213721	2241.099987
92	2158.499989	2241.099987	506.9970188	2241.099987
93	2157.199989	2241.099987	501.8769684	2241.099987
94	2159.999989	2241.099987	496.4932152	2241.099987
95	2159.999989	2241.099987	490.9191233	2241.099987
96	2159.999989	2241.099987	485.238039	2241.099987
