iter	Passed	Remaining
0	179	537782
1	208	312566
2	240	240681
3	273	204638
4	303	181530
5	335	167203
6	364	156055
7	395	148045
8	424	141239
9	455	136111
10	486	132192
11	516	128562
12	547	125900
13	580	123761
14	610	121484
15	642	119887
16	674	118296
17	706	117005
18	737	115676
19	767	114365
20	799	113356
21	830	112356
22	859	111195
23	890	110394
24	919	109373
25	948	108528
26	978	107759
27	1010	107212
28	1041	106743
29	1074	106349
30	1107	106025
31	1139	105676
32	1171	105289
33	1202	104931
34	1234	104547
35	1268	104459
36	1303	104400
37	1339	104409
38	1374	104363
39	1409	104273
40	1443	104181
41	1477	104052
42	1512	103984
43	1547	103942
44	1582	103923
45	1617	103888
46	1652	103840
47	1688	103816
48	1723	103774
49	1758	103757
50	1793	103688
51	1824	103459
52	1855	103192
53	1887	102993
54	1920	102815
55	1952	102638
56	1983	102436
57	2015	102253
58	2047	102065
59	2079	101879
60	2111	101755
61	2142	101530
62	2174	101359
63	2206	101243
64	2238	101092
65	2271	100961
66	2303	100836
67	2334	100676
68	2366	100542
69	2397	100373
70	2429	100237
71	2461	100104
72	2493	99989
73	2527	99922
74	2558	99799
75	2590	99660
76	2623	99576
77	2656	99501
78	2687	99358
79	2717	99175
80	2745	98954
81	2778	98872
82	2812	98851
83	2847	98863
84	2878	98729
85	2908	98554
86	2937	98370
87	2969	98267
88	3003	98238
89	3037	98221
90	3073	98238
91	3107	98216
92	3138	98104
93	3170	98030
94	3199	97845
95	3231	97760
96	3264	97688
97	3293	97514
98	3323	97378
99	3351	97179
100	3383	97105
101	3411	96923
102	3440	96771
103	3468	96598
104	3498	96460
105	3528	96339
106	3555	96144
107	3585	96012
108	3613	95851
109	3642	95691
110	3670	95523
111	3698	95375
112	3728	95269
113	3756	95095
114	3784	94949
115	3813	94821
116	3841	94670
117	3872	94572
118	3902	94479
119	3931	94357
120	3961	94250
121	3990	94127
122	4022	94092
123	4051	93975
124	4080	93854
125	4111	93773
126	4140	93662
127	4172	93610
128	4206	93612
